ID;eln_id;chemist;stmat_1_chemform;stmat_2_chemform;product_1_chemform;product_2_chemform;product_3_chemform;product_4_chemform
261;ELN047147-064;strobes3;C23H21ClN2O5;;C29H32BClN2O7;;;
262;ELN047147-065;strobes3;C29H32BClN2O7;;C23H20BrClN2O5;;;
263;ELN047147-066;strobes3;C29H32BClN2O7;;C24H20ClN3O5;;;
264;ELN047147-067;strobes3;C29H32BClN2O7;;C24H20ClF3N2O5;;;
265;ELN047147-068;strobes3;C29H32BClN2O7;;C23H20Cl2N2O5;;;
266;ELN047147-069;strobes3;C29H32BClN2O7;;C23H21ClN2O6;;;
267;ELN047124-042;perrond4;C4H2Br2S;;C16H9Br2S3;;;
268;ELN047124-043;perrond4;C4H2Br2S;;C16H9Br2S3;;;
269;ELN047124-044;perrond4;C4H2Br2S;;C16H5Br2F4S3;;;
270;ELN047124-045;perrond4;C4H2Br2S;;C16H5Br2F4S3;;;
271;ELN045639-072;stenzhoy;C14H10N2O3;;C19H18N2O3;C24H26N2O3;;
272;ELN047124-046;perrond4;C8H10O2;;C20H17O2S2;;;
273;ELN047124-047;perrond4;C6H5Cl;;C18H8ClF4S2;;;
274;ELN045639-073;stenzhoy;C14H10N2O3;;C27H25N3O5;C40H40N4O7;;
275;ELN047124-048;perrond4;C12H9F;;C24H12F5S2;;;
276;ELN047124-049;perrond4;C15H16O;;C27H19F4OS2;;;
277;ELN047124-050;perrond4;C6H7NO;;C18H14NOS2;;;
278;ELN047124-051;perrond4;C6H4Cl2;;C18H11Cl2S2;;;
279;ELN047124-052;perrond4;C4H3BrS;;C16H10BrS3;;;
280;ELN047124-053;perrond4;C4H3ClS;;C16H10ClS3;;;
281;ELN045639-074;stenzhoy;C14H10N2O3;;C21H20N2O3;C28H30N2O3;;
282;ELN047722-012;wolfardj;C23H25F2N7O2;;C23H25F2N7O3;C23H25F2N7O4;C23H25F2N7O5;
283;ELN045639-075;stenzhoy;C18H16N2O3;;C28H25ClN6O3;;;
284;ELN045639-076;stenzhoy;C27H25N3O5;C26H23N3O5;C36H32ClN7O5;;;
285;ELN045639-077;stenzhoy;C14H10N2O3;;C19H18N2O3;C24H26N2O3;;
