User;ELN ID;IPC no.;Duration (h);LC-MS method (min);LC-MS instrument;LC-MS file name;IPC result
;ELN045640-024;1;18;2;MSA_92_542;MSA-23-01371;product, but still some SM
;ELN045640-027;1;16;2;MSA_92_542;MSA-23-01371;product 
;ELN045640-028;1;16;2;MSA_92_542;MSA-23-01371;product, but still some SM
;ELN045640-024;2;22;2;MSA_92_542;MSA-23-01375;product, but still some SM
;ELN045640-028;2;20;2;MSA_92_542;MSA-23-01375;product, but still some SM
;ELN045640-031;1;17;2;MSA_92_542;MSA-23-01385;product
;ELN045640-032;1;17;2;MSA_92_542;MSA-23-01385;no conversion
;ELN045640-026;1;2;2;MSA_92_542;MSA-23-01394;no conversion
;ELN045640-029;1;2;2;MSA_92_542;MSA-23-01394;no conversion
;ELN045640-026;2;21;2;MSA_92_542;MSA-23-01401;no conversion
;ELN045640-029;2;21;2;MSA_92_542;MSA-23-01401;no conversion
;ELN045640-033;1;17;2;MSA_92_542;MSA-23-01401;finished, product but mainly side product P+34
;ELN045640-034;1;17;2;MSA_92_542;MSA-23-01401;finished, product but mainly side product P+34
;ELN045640-035;1;17;2;MSA_92_542;MSA-23-01401;finished, product
;ELN045640-037;1;6;2;MSA_92_542;MSA-23-01427;no conversion
;ELN045640-037;2;24;2;MSA_92_542;MSA-23-01430;no conversion
;ELN045640-038;1;17;2;MSA_92_542;MSA-23-01430;product and sideproduct
;ELN045640-040;1;17;2;MS3_92_523;MS3-23-86920;no conversion
;ELN045640-041;1;17;2;MS3_92_523;MS3-23-86920;no conversion
;ELN045640-042;1;17;2;MS3_92_523;MS3-23-86920;no conversion
;ELN045640-043;1;16,5;2;MS3_92_523;MS3-23-86922;no conversion
;ELN045640-044;1;16,5;2;MS3_92_523;MS3-23-86922;no conversion
;ELN045640-045;1;16,5;2;MS3_92_523;MS3-23-86922;no conversion
;ELN045640-040;2;113;2;MSA_92_542;MSA-23-01462;mainly product
;ELN045640-041;2;113;2;MSA_92_542;MSA-23-01462;mainly sm without boronic acid
;ELN045640-042;2;113;2;MSA_92_542;MSA-23-01462;no conversion
;ELN045640-043;2;113;2;MSA_92_542;MSA-23-01462;mainly product
;ELN045640-044;2;113;2;MSA_92_542;MSA-23-01462;no conversion
;ELN045640-045;2;113;2;MSA_92_542;MSA-23-01462;no conversion
;ELN045640-039;1;21;2;MS3_92_523;MS3-23-87406;
;ELN045640-046;1;21;2;MS3_92_523;MS3-23-87406;
;ELN045640-047;1;21;2;MS3_92_523;MS3-23-87406;
;ELN045640-039;2;22;2;MSA_92_542;MSA-23-01481;majnly product
;ELN045640-046;2;22;2;MSA_92_542;MSA-23-01481;SM, no conversion
;ELN045640-047;2;22;2;MSA_92_542;MSA-23-01481;no SM
;ELN040616-116;1;19;2;MS3_92_523;MS3-23-87502;
;ELN040616-117;1;19;2;MS3_92_523;MS3-23-87502;
;ELN045640-047;3;45;2;MS3_92_523;MS3-23-87503;no conversion
;ELN040616-116;4;90;2;MSA_92_542;;
;ELN040616-117;4;90;2;MSA_92_542;;
;ELN045640-048;1;17;2;MSA_92_542;MSA-23-01532;no product
;ELN045640-049;1;17;2;MSA_92_542;MSA-23-01532;no product
;ELN045640-050;1;17;2;MSA_92_542;MSA-23-01532;mainly product
;ELN045640-051;1;17;2;MSA_92_542;MSA-23-01532;product and lot of side product
;ELN045640-052;1;1;2;MSA_92_542;MSA-23-01537;small amount of product, mainly side produdct
;ELN045640-053;1;1;2;MSA_92_542;MSA-23-01536;small amount of product, mainly SM
;ELN045639-011;1;1;2;MSA_92_542;MSA-23-01540;SM still left, mainly monoalkylated products
;ELN045640-053;2;19;2;MS3_92_523;MS3-23-87971;no SM, little peak of P
;ELN045640-056;1;16;2;MS3_92_523;MS3-23-87971;no SM, peak of P not visible
;ELN045639-011;2;18;2;MS3_92_523;MS3-23-87977;no SM, peaks of mono and dialkylated products
;ELN045640-054;1;2,5;2;MSA_92_542;MSA-23-01547;traces of P, mainly SM
